Time, Audience01, Audience02, Audience03, Audience04, Audience05, Audience06, Audience07, Audience08, Audience09, Audience10, Audience11, Audience12, Audience13, Audience14, Audience15, Audience16 
3.3, 0.00163, 0.00696, -3e-05, 0, 0.00324, -0.00042, 6e-05, -0.01811, 0.0003, 0.00465, -0.00151, 0.00963, 0.0023, 0.0038, -0.00034, 0
3.4, 0.00114, 0.00679, -0.00087, 0, -0.00269, 0.00039, -0.00071, -0.01844, -0.00153, 0.00439, -0.00321, 0.01053, 0.00271, 0.00364, -0.00028, 0
3.5, 0.00111, 0.00684, -0.00153, 0, -0.00309, 0.00281, -0.00161, -0.01446, -0.0025, 0.00351, -0.00517, 0.00957, 0.00241, 0.00425, -0.00022, 0
3.6, 0.00141, 0.00604, -0.00215, 0, 0.00093, 0.00479, -0.00229, -0.01295, -0.00287, 0.00295, -0.00623, 0.00895, 0.00176, 0.0034, -0.00028, 0
3.7, 0.00162, 0.00498, -0.00274, 0, 0.00517, 0.0064, -0.00288, -0.01588, -0.00241, 0.00224, -0.00622, 0.00805, 0.0016, 0.00329, -0.00027, 0
3.8, 0.00149, 0.00334, -0.00266, 0, 0.00074, 0.00828, -0.00425, -0.01595, -0.00055, 0.00147, -0.00594, 0.00674, 0.00174, 0.00282, -0.00028, 0
3.9, 0.00152, 0.00165, -0.00258, 0, -0.00132, 0.00787, -0.00334, -0.00806, 0.00217, 0.00102, -0.00476, 0.00664, -0.00177, 0.00218, -0.00033, 0
4.0, 0.00144, 5e-05, -0.00294, 0, 0.00269, 0.00683, -0.00487, -0.00792, 0.00271, 0.00068, -0.00383, 0.00674, -0.0038, 0.00241, -0.0002, 0
4.1, 0.00121, -0.00091, -0.00302, 0, 0.00445, 0.00625, -0.00596, -0.00999, 0.0025, 0.00033, -0.0037, 0.00587, -0.00381, 0.00146, -0.00026, 0
4.2, 0.00127, -0.00111, -0.00314, 0, 0.0036, 0.00353, -0.00588, -0.0135, 0.00234, -0.00095, -0.00345, 0.00465, -0.00362, 0.00184, -0.00025, 0
4.3, 0.00146, -0.00094, -0.00298, 0, 0.00315, 0.00142, -0.00628, -0.01315, 0.00281, -0.00134, -0.00281, 0.00436, -0.00299, 0.00298, -0.00024, 0
4.4, 0.00194, -0.00062, -0.00328, 0, 0.00361, 0.00048, -0.00574, -0.01409, 0.00247, -0.00175, -0.00162, 0.00389, -0.00257, 0.003, -0.0002, 0
4.5, 0.00217, 0.00064, -0.00337, 0, 0.00274, -0.00015, -0.00772, -0.01326, 0.00139, -0.00139, -0.0008, 0.00372, -0.00097, 0.0027, -0.00019, 0
4.6, 0.00214, 0.00136, -0.00342, 0, -0.00166, -0.00036, -0.00938, -0.01355, 0.00036, -0.00121, -7e-05, 0.00344, 0.00061, 0.00296, -0.00026, 0
4.7, 0.00196, 0.00069, -0.00346, 0, -0.00375, -0.00178, -0.01224, -0.00953, -0.00067, -0.00098, 6e-05, 0.00321, 0.00153, 0.00295, -0.00023, 0
4.8, 0.0018, -0.00013, -0.00356, 0, -0.00334, -0.00335, -0.01333, -0.00851, -0.00115, -0.00103, -0.00052, 0.00308, 0.00194, 0.00186, -0.00026, 0
4.9, 0.00173, -0.00193, -0.00366, 0, -0.00307, -0.00346, -0.01089, -0.00838, -0.00179, -0.00092, -0.00294, 0.00284, 0.00109, 0.00102, -0.0002, 0
