Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: 06 Laugh, 07 Laugh, 08 Laugh, 09 Laugh, 10 Laugh, 11 Laugh, 13 Laugh, 14 Laugh
Time,Duration,TrackName,comment
1221041,10759,08 Laugh,Not Laughing
1222801,40999,14 Laugh,Not Laughing
1223091,9204,06 Laugh,Not Laughing
1230240,6359,09 Laugh,Laughing
1230921,5918,07 Laugh,Smiling
1231801,13558,08 Laugh,Smiling
1232041,4719,10 Laugh,Laughing
1232295,3505,06 Laugh,Indeterminate
1235801,5038,06 Laugh,Not Laughing
1236640,2520,09 Laugh,Smiling
1236761,13478,10 Laugh,Smiling
1236840,6599,07 Laugh,Laughing
1239161,5678,09 Laugh,Laughing
1240840,5519,06 Laugh,Indeterminate
1243440,4120,07 Laugh,Indeterminate
1244880,18479,09 Laugh,Not Laughing
1245400,18319,08 Laugh,Not Laughing
1246360,36879,06 Laugh,Not Laughing
1247561,15359,07 Laugh,Not Laughing
1250240,3560,10 Laugh,Not Laughing
1250761,6519,11 Laugh,Laughing
1253801,3038,10 Laugh,Smiling
1256840,8080,10 Laugh,Not Laughing
1257319,7920,11 Laugh,Not Laughing
1262921,4198,07 Laugh,Smiling
1263360,5920,09 Laugh,Smiling
1263720,10040,08 Laugh,Smiling
1263801,3879,14 Laugh,Smiling
1264921,3079,10 Laugh,Smiling
1265280,18120,11 Laugh,Smiling
1267120,3440,07 Laugh,Indeterminate
1267681,39798,14 Laugh,Not Laughing
1268001,15358,10 Laugh,Not Laughing
1269281,14119,09 Laugh,Not Laughing
1270561,12719,07 Laugh,Not Laughing
1273761,9679,08 Laugh,Not Laughing
1283240,2479,06 Laugh,Laughing
1283281,3479,07 Laugh,Laughing
1283360,5800,10 Laugh,Smiling
1283401,4718,09 Laugh,Smiling
1283401,6279,11 Laugh,Laughing
1283440,12999,08 Laugh,Smiling
1285720,21040,06 Laugh,Not Laughing
1286800,3960,07 Laugh,Not Laughing
1288120,1839,09 Laugh,Not Laughing
1289161,3719,10 Laugh,Not Laughing
1289719,17201,11 Laugh,Smiling
1289960,8159,09 Laugh,Smiling
1290761,5999,07 Laugh,Smiling
1292881,8639,10 Laugh,Smiling
1296440,9720,08 Laugh,Not Laughing
1296761,10239,07 Laugh,Not Laughing
1298120,8719,09 Laugh,Not Laughing
1301521,5399,10 Laugh,Not Laughing
1306161,4599,08 Laugh,Smiling
1306761,2598,06 Laugh,Laughing
1306840,4119,09 Laugh,Smiling
1306921,4719,11 Laugh,Laughing
1306921,5479,10 Laugh,Smiling
1307001,3358,07 Laugh,Laughing
1307480,3119,14 Laugh,Smiling
1309360,13879,06 Laugh,Not Laughing
1310400,1880,07 Laugh,Not Laughing
1310600,18560,14 Laugh,Not Laughing
1310761,1799,08 Laugh,Not Laughing
1311000,2280,09 Laugh,Not Laughing
1311680,13840,11 Laugh,Smiling
1312281,2479,07 Laugh,Smiling
1312401,1119,10 Laugh,Not Laughing
1312561,8158,08 Laugh,Smiling
1313281,11239,09 Laugh,Smiling
1313521,5479,10 Laugh,Smiling
1314761,1838,07 Laugh,Laughing
1316600,6960,07 Laugh,Not Laughing
1319001,6958,10 Laugh,Not Laughing
1320720,4879,08 Laugh,Not Laughing
1323240,2440,06 Laugh,Indeterminate
1323560,0,07 Laugh,(null)
1323561,3638,07 Laugh,Smiling
1324521,9676,09 Laugh,Laughing
1325480,14680,13 Laugh,Smiling
1325521,7759,11 Laugh,Laughing
1325600,14599,08 Laugh,Smiling
1325681,14758,06 Laugh,Smiling
1325960,12279,10 Laugh,Laughing
1327200,5519,07 Laugh,Laughing
1329161,7639,14 Laugh,Smiling
1332720,8119,07 Laugh,Not Laughing
1333319,7280,11 Laugh,Smiling
1334197,2963,09 Laugh,Smiling
1336801,3678,14 Laugh,Not Laughing
1337161,2958,09 Laugh,Not Laughing
1338240,2079,10 Laugh,Not Laughing
1340120,14892,09 Laugh,Laughing
1340161,9198,13 Laugh,Not Laughing
1340199,4772,08 Laugh,Not Laughing
1340320,13279,10 Laugh,Laughing
1340440,11639,06 Laugh,Laughing
1340480,7645,14 Laugh,Smiling
1340600,6688,11 Laugh,Laughing
1340840,13198,07 Laugh,Laughing
1344971,6348,08 Laugh,Smiling
1347288,1031,11 Laugh,Smiling
1348125,1875,14 Laugh,Not Laughing
1348320,6960,11 Laugh,Laughing
1349360,16719,13 Laugh,Smiling
1350001,5799,14 Laugh,Smiling
1351320,3519,08 Laugh,Laughing
1352080,3279,06 Laugh,Not Laughing
1353600,12440,10 Laugh,Smiling
1354039,1920,07 Laugh,Not Laughing
1354880,11199,08 Laugh,Smiling
1355012,4427,09 Laugh,Smiling
1355319,6321,11 Laugh,Smiling
1355360,3079,06 Laugh,Smiling
1355801,2518,14 Laugh,Laughing
1355960,3680,07 Laugh,Smiling
1358320,2999,14 Laugh,Not Laughing
1358440,2879,06 Laugh,Not Laughing
1359440,1960,09 Laugh,Not Laughing
1359641,1798,07 Laugh,Not Laughing
