Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: Audience 02, Audience 03, Audience 04, Audience 05, Audience 06, Audience 07, Audience 08, Audience 09, Audience 10, Audience 11, Audience 12, Audience 13, Audience 14, Audience 15, Audience 16
Time,Duration,TrackName,comment
1247801,10318,Audience 16,Laughing
1247921,13479,Audience 02,Smiling
1248080,3560,Audience 05,Smiling
1248720,2359,Audience 04,Smiling
1249801,10239,Audience 12,Laughing
1250921,6038,Audience 06,Laughing
1251080,5119,Audience 04,Laughing
1251641,7119,Audience 05,Laughing
1251720,7200,Audience 10,Laughing
1251960,6320,Audience 13,Laughing
1252041,6678,Audience 11,Laughing
1252360,8359,Audience 03,Laughing
1253080,6399,Audience 09,Laughing
1253480,5119,Audience 14,Laughing
1255720,60560,Audience 07,Not Smiling Laughing
1256200,4800,Audience 04,Smiling
1256959,8551,Audience 06,Smiling
1258160,21799,Audience 16,Not Smiling Laughing
1258281,50279,Audience 13,Not Smiling Laughing
1258440,40879,Audience 08,Not Smiling Laughing
1258600,40040,Audience 14,Not Smiling Laughing
1258720,5879,Audience 11,Smiling
1258761,38718,Audience 05,Not Smiling Laughing
1258921,38918,Audience 10,Not Smiling Laughing
1259480,36564,Audience 09,Not Smiling Laughing
1260041,37999,Audience 12,Not Smiling Laughing
1260720,42160,Audience 03,Not Smiling Laughing
1261001,27759,Audience 04,Not Smiling Laughing
1261401,2999,Audience 02,Not Smiling Laughing
1264401,2639,Audience 02,Smiling
1264600,19479,Audience 11,Not Smiling Laughing
1265510,37770,Audience 06,Not Smiling Laughing
1267041,31119,Audience 02,Not Smiling Laughing
1279960,11680,Audience 16,Laughing
1284080,39320,Audience 11,Smiling
1288281,5838,Audience 15,Not Smiling Laughing
1288761,8598,Audience 04,Smiling
1291641,6958,Audience 16,Not Smiling Laughing
1294120,6760,Audience 15,Smiling
1296044,4626,Audience 09,Smiling
1297360,3520,Audience 04,Laughing
1297480,12959,Audience 05,Laughing
1297840,4999,Audience 10,Smiling
1298041,3318,Audience 12,Laughing
1298161,4078,Audience 02,Laughing
1298600,2440,Audience 16,Smiling
1298641,3119,Audience 14,Laughing
1299320,4560,Audience 08,Smiling
1300680,25720,Audience 09,Not Smiling Laughing
1300881,1958,Audience 04,Smiling
1300881,4039,Audience 15,Laughing
1301041,25438,Audience 16,Laughing
1301360,1560,Audience 12,Not Smiling Laughing
1301761,1558,Audience 14,Smiling
1302240,9719,Audience 02,Smiling
1302840,2519,Audience 04,Laughing
1302840,5510,Audience 10,Laughing
1302881,12598,Audience 03,Smiling
1302921,7639,Audience 12,Laughing
1303281,17038,Audience 06,Smiling
1303320,4639,Audience 14,Laughing
1303881,4198,Audience 08,Laughing
